"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"645","2012-03-29","","0","2","99339200"
"646","2012-04-02","","0","2","91242400"
"647","2012-04-05","","0","1","193138200"
"648","2012-04-09","","205827665","0","0"
"649","2012-04-12","","461680353","0","0"
"650","2012-04-16","","406949113","1","400000000"
"651","2012-04-19","","0","2","356844900"
"652","2012-04-23","","0","2","105070900"
"653","2012-04-26","","10955557","1","200000000"
"654","2012-04-30","","0","1","220075400"
"655","2012-05-03","","0","2","91563400"
"656","2012-05-07","","0","6","29744700"
"657","2012-05-10","","13405435","1","200000000"
"658","2012-05-14","","234586287","0","0"
"659","2012-05-17","","106692039","1","400000000"
"660","2012-05-21","","0","3","115495200"
"661","2012-05-24","","0","2","100065600"
"662","2012-05-28","","0","3","67698400"
"663","2012-05-31","","0","3","65429200"
"664","2012-06-04","","0","3","54823400"
"665","2012-06-07","","0","2","94049700"
"666","2012-06-11","","187758302","0","0"
"667","2012-06-14","","0","2","217956200"
"668","2012-06-18","","0","5","39100200"
"669","2012-06-21","","180372714","0","0"
"670","2012-06-25","","0","2","215544800"
"671","2012-06-28","","0","2","94581700"
"672","2012-07-02","","199965654","0","0"
"673","2012-07-05","","0","2","215521300"
"674","2012-07-09","","0","3","61634400"
"675","2012-07-12","","0","3","62855400"
